Baseline Calls:	Robot Call						
Scenario 1:	I'm better than you.						
Scenario 2:							
Scenario 3:							
							
Scenario	Round 1 Ability	Round 2 Ability	Round 3 Ability	Call Blurb	Call	Response Blurb	Response 
1	Wallop			I'm famous	It was nice meeting you. I bet it was GREAT meeting me.	Swag on her	Hmm, I give that insult a 3/10. Flat delivery, unoriginal, and expected. Give up, baby girl.
2	Lunge	Fireball		Perpetuate a rumor	You know everyone fucking hates you, right? What makes you think Senpai's any different?	Threaten her with a rumor	I hear you've got a raging case of herpes.  I bet Senpai will love hearing all about it.
2	Lunge	Shield		Snarky comment	Seriously?  You know Senpai only goes for girls with at least half a brain, right?	Snide Comment	Look, if you can't get a date for V-Day, you can always just stay home and fuck yourself.
2	Lunge	Sing		Act appalled	Are you seriously trying to make a move on MY Senpai?! Back off, bitch!	Be entitled	Whatever, bitch!  Senpai is already mine!  They just don't know it yet!
2	Lunge	Pull		Lord over her	Did you seriously think you could win over Senpai with a cake like THAT? Pathetic.	Assert your dominance 	I will shove that pathetic cake so far up your ass, you'll cough up funfetti!
2	Lunge	Wallop		Disresepct her	You think Senpai wants to go out with you? Ha! You're almost as funny as that stupid cake!	Drop a poem on her	A V-Day poem: Roses are red, violets are blue, Senpai is mine, the fuck you gonna do?
2	Wallop	Lunge		Be aggressive	Me and Senpai...it's inevitable.  Why don't you go choke on a candy heart or something?	Threaten her	Did you pour your sweat and tears into that cake?  Because I'd be happy to add your blood.
2	Wallop	Fireball		Give insincere advice	You and Senpai? No. What about that weird kid with no eyebrows? You'd be so cute together!	Backhanded compliment	Oh my god, I love your cake! It's like the sad version of mine!
2	Wallop	Shield		Ugh	Wait, you're here to ask out Senpai?  Ugh. Why? You're so boring.	Be snarky	Let me know when you get a date. I'll ride my flying pig to hell and grab you a snowcone.
2	Wallop	Sing		Make it about you	I know you're in love with me or whatev, but I can't share Senpai.  I don't do threesomes.	Make it about you	Oh my god, did you follow me here? I had no idea you were so obsessed with me.
2	Wallop	Pull		Assert dominance	You and Senpai? Don't waste your time, honey.  I've got Senpai wrapped around my finger.	Demean her	Honey, Senpai doesn't even know who you are.  You're just so...small...and insignificant.
3	Lunge	Fireball	Sing	Act appaled	Oh my god! Would you look at this bitch! She totally stole my idea! 	Flaunt popularity	Whatever! Everybody hates you, bitch!  They're going to cheer for me when I kick your ass!
3	Lunge	Fireball	Shield 	Be sarcastic	Gross, unpopular, AND a copycat! OMG, congratulations! You are now officially the worst!	Turn it back on her	That's just what somebody who stole MY idea would say. Ugh. Fuckin' bitch.
3	Lunge	Fireball	Pull	Dominate her	You'll regret stealing my statue idea. I swear, I will fucking break you.	Be dissmissive	I wouldn't steal an idea from YOU.  It's not worth the embarrassment.
3	Lunge	Fireball	Wallop	Gloat	You're copied me? Wow.  Even for you, that's embarrassing. Are you really that jelly?	Swag on her	Look around you. Do you see how many how many people give a shit? Because I count zero.
3	Lunge	Shield 	Fireball	Give disingenuous advice	God.  If you're going to copy somebody, at least try to be A LITTLE subtle about it.	Be insincere	Shh shh shh, it's okay.  I know it's a lot for your tiny brain to handle.
3	Lunge	Shield	Sing	Annoy her	Stop copying me.  Stop copying me. Stop copying me. Stop copying me...STOP COPYING ME!	Make a scene	I didn't copy your statue!  Senpai modeled for me!  Nude! NUDE!
3	Lunge	Shield	Pull	Be dismissive	Can't even come up with your own idea? I would find that sad if I gave a shit.	Demean her	Do you honestly think I would have to steal an idea from YOU? You're dumber than you look,
3	Lunge	Shield	Wallop	Disrespect her	You're copying me now? Haha! Wow! You've hit a new low, baby girl!	Swag on her	Actually, I got the statue idea from a friend, but you wouldn't know about having friends.
3	Lunge	Sing	Fireball	Perpetuate a rumor	Everybody says you're a wannabe loser. I guess it's true.	Be passive aggressive	Oh my god. Stealing your idea is a compliment!  Why are you being such a bitch about it?
3	Lunge	Sing	Shield 	Be sarcastic	Gee! I wonder who Senpai's going to like? Me, or the girl who can't think for herself?	Provoke her	Do you, like, get off on being a bitch? Seriously, does it turn you on or something?
3	Lunge	Sing	Pull	Be dismissive	You copied me? Hmph! You're just a poser.	Dominate her	Are you going to shut up, or am I going to have to MAKE YOU shut up?
3	Lunge	Sing	Wallop	Gloat	So what? You just copy whatever the cool kids do?	Play it cool	You know what? I think I'll kick your ass just for the hell of it.  I've got two minutes.
3	Lunge	Pull	Fireball	Give disingenuous advice	If you can't come up with your own idea, don't just steal one. It makes you look pathetic.	Turn people against her	I didn't need to steal your dumb fuck idea.  I can just get other people to do that for me.
3	Lunge	Pull	Shield 	Ugh.	You stole my idea? Ugh. Are you physically incapable of having an original thought?	Provoke her	You mad? You want to hit me?  Go ahead.  Do it!  See how that plays out for you.
3	Lunge	Pull	Sing	Act appalled	Oh my god! Are you seriously that pathetic that you had to steal my idea?!	Flip out	You want to mess with me, bitch?! I will make your life a living hell!
3	Lunge	Pull	Wallop	Swag on her	Honey, you get to my level by being talented, not by copying the big girls.	Swag on her	I should keep a mic on me. I'm always looking for something drop on bitches like you.
3	Lunge	Wallop	Fireball	Throw shade	Wow. The way you can just unabashedly steal somebody else's idea. It's is just...so you.	Be insincere	Oh my god, are you going to cry? Aw, it's okay, baby.  Let it all out.
3	Lunge	Wallop	Shield 	Be snarky	They say that imitation is the sincerest form of flattery, yet somehow I still hate you.	Be cheeky	Oh yeah? You think you can back up those accusations with facts?...or fists?
3	Lunge	Wallop	Sing	Make it about you	You can steal my idea, but you DEFINITELY can't steal my talent. Your statue sucks!	Make a scene	Hey everybody! Who wants to come to the roof and watch me kick this bitch's ass?
3	Lunge	Wallop	Pull	Act superior	I'm not surprised that you copied me.  I always knew you couldn't think for yourself.	Demean her	Now you're REALLY aggravating me. I think it's about time I crushed this little bug.
3	Wallop	Lunge	Fireball	Give disingenuous advice	A little word of advice, sweetie; it's okay to be uncreative, but nobody likes a copycat.	Throw shade	Honey, you're not flattering yourself with all that complaining. So embarrassing.
3	Wallop	Lunge	Shield 	Be sarcastic	A girl who'd dare copy me? Now I've really seen everything.	Be snarky	Oh, damn. Looks like I'm fresh out of fucks to give. Sorry about that.
3	Wallop	Lunge	Sing	Make it about you	Too dumb to come up with your own idea? Well, I guess you always have me to look up to.	Act offended	YOU are accusing ME?! UGH! That is IT! You're dead bitch!
3	Wallop	Lunge	Pull	Demean her	You stole my statue idea?  Hmm. I always knew you were a pathetic wannabe.	Dominate her	No, please, keep yapping.  It'll be all the more satisfying when I grind you into the dirt.
3	Wallop	Fireball	Lunge	Call her ugly	You made a marble statue too? Oh my god, we're like twins! You know, except I'm pretty.	Get angry	Ugh! I'm done being cute with you.  I think I'm just going to kick your ass now.
3	Wallop	Fireball	Shield 	Be sarcastic	A marble statue of Senpai? So cool. I wonder where you got THAT idea.	Be sarcastic	Oh my god, you're so totally right.  I DEFINITELY copied your sad little garbage pile.
3	Wallop	Fireball	Sing	Act Appaled	I can't believe you would steal my idea!  Is that what I get for being nice to you?	Be annoying	Oh? AHHH HAHAHAHAHAHAHAHAHA!!! I'm sorry! You're just so cute when you're mad!
3	Wallop	Fireball	Pull	Be dissmissive	You stole my idea? Hmph.  I'm sorry I ever deigned to talk to you.	Be dissmissive	I don't know why I tried to be nice to you.  You're just a pathetic loser.
3	Wallop	Shield	Lunge	Threaten violence	You know what'll be fun? Beating you to death with that ridiculous poser statue.	Threaten violence	*sigh* I tried to be civil, but..now I'm going to have to throw you off the fucking roof.
3	Wallop	Shield	Fireball	Be insincere 	It's okay if you're not clever enough to come up with your own idea.  I totally get it.	Throw shade	Of course I didn't copy your statue.  MY statue actually looks like Senpai.
3	Wallop	Shield	Sing	Make it about you	I should've known you'd copy me.  Not everyone can be as clever as me.	Annoy her	I CAN SCREAM LOUDER THAN YOU!!!!
3	Wallop	Shield	Pull	Be aloof	I would call your statue a pale imitation, but even that would be too generous. 	Belittle her	Is that all? Ha! I should have known not to expect anything intelligent from you.
3	Wallop	Sing	Lunge	Get angry	I used to think it was cute how much you wanted to be me, but now it's just annoying!	Threaten her	God! Leave me alone! Am I going to have to choke a bitch?!
3	Wallop	Sing	Fireball	Give disingenuous advice	I'm flattered, but your obsession with me is really unhealthy. You should do you.	Give disingenuous advice	You shouldn't throw around false accusations.  It makes you look desperate.
3	Wallop	Sing	Shield 	So done with her	Wow, I know you're obsessed with me, but copying me? It's starting to get creepy.	Turn it back on her	Uh, you definitely copied ME.  Oh my god, stop stalking me! I swear I'll call the cops!
3	Wallop	Sing	Pull	Demean her	You're copying me now?  Are you really that pathetic?	Act superior	I didn't steal your stupid idea.  I wouldn't deign you with that kind of honor.
3	Wallop	Pull	Lunge	Be cutting	You stole my idea? Are you jealous, or are you just too stupid to come up with your own?	Threaten her	I'm going to have to curb stomp you, aren't I? God, I hate getting my shoes dirty.
3	Wallop	Pull	Fireball	Turn people against her	I'm going to tell the whole school you stole my idea, and you know they'll believe me.	Turn people against her	You do know that I can snap my fingers and turn this whole school against you, right?
3	Wallop	Pull	Shield 	Be sarcastic	Oh look! The little nobody stole my idea! Oh, how flattering!	Be snarky	I'm sorry, were you talking to me? I don't speak plebe.
3	Wallop	Pull	Sing	Flaunt your popularity	Oh sure! Steal an idea from the most popular girl in school! That's a good look!	Flaunt your popularity	This whole school worships me.  Why should I care what you say about me?
